iter	Accuracy	Logloss
0	0.8270167244	0.6838338639
1	0.8346327274	0.6754506677
2	0.8375608032	0.6684902325
3	0.8352298201	0.6614927687
4	0.8369787406	0.655297734
5	0.8364021436	0.6489729883
6	0.8369883053	0.6423484653
7	0.8352339193	0.6366311145
8	0.8369855725	0.629863235
9	0.8358173482	0.6233723544
10	0.8358187146	0.6185755415
11	0.8352339193	0.6131247469
12	0.8369855725	0.606936883
13	0.8372793365	0.6029015995
14	0.8352339193	0.5969157191
15	0.8361111123	0.591127445
16	0.8369855725	0.5863135166
17	0.8372779702	0.5819517937
18	0.83990545	0.576323574
19	0.8375690015	0.5721279396
20	0.8372793365	0.5680983705
21	0.8358173482	0.5630351512
22	0.8372779702	0.5586778558
23	0.8358173482	0.5550222077
24	0.8361111123	0.551571738
25	0.8352339193	0.5477816411
26	0.8355263169	0.5440350942
27	0.8352352856	0.5414933328
28	0.8355276833	0.5370369025
29	0.8340670614	0.5338179574
30	0.834942888	0.5297113065
31	0.834942888	0.5265420067
32	0.8346504903	0.5227785722
33	0.8358187146	0.5197876179
34	0.8343580927	0.5166915658
35	0.8337732973	0.5130712759
36	0.8375703678	0.5096379226
37	0.8375703678	0.5058304247
38	0.8375690015	0.5034920167
39	0.8372766038	0.5002228686
40	0.8372766038	0.4976215039
41	0.8366918085	0.4943481377
42	0.8361070131	0.4913756432
43	0.8366918085	0.4886333952
44	0.8358146155	0.4854606293
45	0.8366918085	0.4835265838
46	0.8358159818	0.4812222112
47	0.8366918085	0.4785656235
48	0.8369842061	0.4765088466
49	0.8358159818	0.4747462552
50	0.8372766038	0.4723412045
51	0.8363994108	0.4698901585
52	0.8366918085	0.4679157224
53	0.8363994108	0.4660752345
54	0.8361070131	0.463501525
55	0.8369842061	0.4614997508
56	0.8378613991	0.4593770418
57	0.8372766038	0.457480505
58	0.8375690015	0.4556563748
59	0.8378613991	0.4540186673
60	0.8369842061	0.4521655221
61	0.8378600328	0.450317204
62	0.8396130524	0.4484927033
63	0.8401978477	0.4470499072
64	0.8401978477	0.4453165013
65	0.8396130524	0.4438518152
66	0.840488879	0.4424474836
67	0.840488879	0.4409338604
68	0.8396130524	0.4396526381
69	0.8396130524	0.4384553763
70	0.83990545	0.4368601695
71	0.8396130524	0.4356626433
72	0.8393206547	0.4340986485
73	0.8393206547	0.4328834838
74	0.83990545	0.4320807969
75	0.8396130524	0.43079472
76	0.8396130524	0.4293768495
77	0.8401978477	0.4281532952
78	0.8396130524	0.4267587371
79	0.8393206547	0.4258072081
80	0.8396130524	0.4249811915
81	0.8390296234	0.4235019272
82	0.83990545	0.4226578039
83	0.841366072	0.421376597
84	0.8410736743	0.4201122777
85	0.8410736743	0.4190513092
86	0.8410736743	0.4182080824
87	0.8410736743	0.4170426251
88	0.8419495009	0.4156791207
89	0.8419495009	0.4147486479
90	0.8407812766	0.4138451882
91	0.8407812766	0.4128947047
92	0.8407812766	0.4116919293
93	0.8396130524	0.4109753565
94	0.8407812766	0.4100680148
95	0.8401964813	0.4088196611
96	0.8413647056	0.4080393708
97	0.840488879	0.407361675
98	0.8401964813	0.4063306963
99	0.8413647056	0.4053960536
100	0.8425329299	0.404235007
101	0.8425329299	0.4032264219
102	0.8437011542	0.402322087
103	0.8425329299	0.4020087929
104	0.8413647056	0.4009944634
105	0.8413647056	0.4008519769
106	0.8425329299	0.4000773998
107	0.8437011542	0.3992861847
108	0.8448693785	0.3987342095
109	0.8448693785	0.3980529529
110	0.8448693785	0.3971562164
111	0.8448693785	0.3965976238
112	0.8437011542	0.3960301318
113	0.8437011542	0.395585059
114	0.8437011542	0.3946701914
115	0.8437011542	0.3944811093
116	0.8437011542	0.3941193591
117	0.8437011542	0.3933392421
118	0.8437011542	0.3929030007
119	0.8437011542	0.3923332864
120	0.8437011542	0.3918162339
121	0.8437011542	0.3910060559
122	0.8448693785	0.3901423147
123	0.8448693785	0.3894448096
124	0.8448693785	0.3890205153
125	0.8448693785	0.388613044
126	0.8448693785	0.3881328614
127	0.8448693785	0.3875198401
128	0.8448693785	0.3871247799
129	0.8437011542	0.38664492
130	0.8437011542	0.3861541395
131	0.8448693785	0.3857980336
132	0.8448693785	0.3850145638
133	0.8437011542	0.3843388786
134	0.8437011542	0.3837821095
135	0.8445769808	0.383275987
136	0.8457452051	0.3827006761
137	0.8457452051	0.3822920214
138	0.8460376027	0.3819339737
139	0.8448693785	0.3816330598
140	0.8460376027	0.3809931928
141	0.8457452051	0.3806799929
142	0.8454528074	0.3801003338
143	0.8454528074	0.3796173625
144	0.8454528074	0.3791007586
145	0.8454528074	0.3788196529
146	0.8454528074	0.378321158
147	0.8454528074	0.378027172
148	0.8454528074	0.3778450625
149	0.8454528074	0.3774081415
150	0.8454528074	0.3771979721
151	0.8454528074	0.3767686479
152	0.8454528074	0.3764062083
153	0.8454528074	0.3760992134
154	0.8454528074	0.375735042
155	0.8454528074	0.3752268616
156	0.8454528074	0.3745783211
157	0.8454528074	0.3742858393
