iter	Passed	Remaining
0	142	569427
1	291	583676
2	427	570197
3	554	553461
4	671	536257
5	798	531474
6	917	523095
7	1044	520969
8	1160	514470
9	1294	516701
10	1430	518671
11	1562	519317
12	1690	518540
13	1841	524313
14	1987	528010
15	2128	529892
16	2301	539195
17	2453	542717
18	2614	547781
19	2756	548558
20	2920	553335
21	3061	553646
22	3229	558463
23	3428	568003
24	3592	571187
25	3728	569936
26	3877	570570
27	4053	575048
28	4214	577063
29	4374	578845
30	4541	581453
31	4685	581018
32	4818	579266
33	4976	580523
34	5150	583512
35	5339	587949
36	5509	590164
37	5677	591981
38	5845	593728
39	6048	598775
40	6220	600613
41	6400	603213
42	6564	604059
43	6721	604299
44	6895	606072
45	7075	608198
46	7250	609824
47	7437	612336
48	7608	613496
49	7787	615203
50	7970	617135
51	8135	617656
52	8305	618532
53	8477	619464
54	8666	621641
55	8825	621555
56	8994	622191
57	9163	622822
58	9317	622347
59	9400	617319
60	9569	617914
61	9756	619666
62	9931	620613
63	10104	621429
64	10276	622130
65	10447	622707
66	10598	622148
67	10766	622566
68	10939	623251
69	11008	618075
70	11168	618027
71	11344	618914
72	11499	618627
73	11665	618890
74	11837	619474
75	11987	618951
76	12141	618606
77	12304	618703
78	12505	620661
79	12683	621513
80	12868	622619
81	13063	624158
82	13233	624518
83	13390	624252
84	13536	623472
85	13695	623298
86	13870	623856
87	14046	624439
88	14224	625061
89	14386	625028
90	14565	625680
91	14754	626725
92	14878	625045
93	15044	625134
94	15221	625668
95	15395	626097
96	15553	625847
97	15726	626188
98	15891	626180
99	16061	626380
100	16235	626738
101	16407	627013
102	16571	626985
103	16755	627672
104	16950	628775
105	17124	629091
106	17267	628257
107	17436	628348
108	17596	628161
109	17766	628301
110	17946	628776
111	18130	629380
112	18279	628774
113	18455	629112
114	18618	628973
115	18807	629718
116	19048	632194
117	19232	632717
118	19389	632365
119	19566	632663
120	19738	632771
121	19897	632478
122	20078	632887
123	20276	633811
124	20450	633961
125	20594	633186
126	20752	632879
127	20920	632855
128	21096	633071
129	21283	633582
130	21455	633682
131	21618	633496
132	21767	632881
133	21928	632639
134	22090	632446
135	22277	632930
136	22438	632692
137	22599	632451
138	22771	632513
139	22941	632522
140	23109	632472
141	23269	632206
142	23440	632237
143	23633	632846
144	23806	632918
145	23985	633142
146	24144	632837
147	24344	633602
148	24491	633005
149	24672	633264
150	24876	634112
151	25054	634279
152	25245	634771
153	25447	635516
154	25616	635462
155	25787	635425
156	25977	635858
157	26117	635090
158	26294	635203
159	26464	635140
160	26645	635363
161	26772	634275
162	26941	634189
163	27096	633787
164	27277	633985
165	27493	635000
166	27651	634669
167	27796	634020
168	27971	634080
169	28179	634860
170	28340	634599
171	28516	634667
172	28690	634678
173	28870	634819
174	29043	634797
175	29214	634759
176	29375	634479
177	29527	634010
178	29687	633713
179	29842	633320
180	30007	633136
181	30172	632952
182	30335	632728
183	30489	632335
184	30672	632513
185	30826	632109
186	30995	632018
187	31172	632068
188	31347	632086
189	31487	631408
190	31642	631036
191	31795	630610
192	31974	630702
193	32129	630333
194	32286	629993
195	32463	630064
196	32612	629571
197	32776	629367
198	32956	629492
199	33126	629399
200	33301	629412
201	33458	629093
202	33606	628598
203	33774	628469
204	33935	628225
205	34112	628259
206	34277	628097
207	34451	628082
208	34606	627714
209	34771	627540
210	34939	627427
211	35091	627019
212	35255	626815
213	35422	626675
214	35573	626252
215	35749	626276
216	35926	626309
217	36121	626652
218	36298	626683
219	36494	627038
220	36663	626932
221	36842	626984
222	37026	627131
223	37202	627134
224	37380	627159
225	37561	627247
226	37742	627320
227	37927	627469
228	38144	628141
229	38324	628193
230	38476	627787
231	38645	627663
232	38812	627489
233	39009	627826
234	39205	628118
235	39343	627496
236	39500	627174
237	39666	627004
238	39847	627055
239	40028	627118
240	40208	627157
241	40361	626769
242	40533	626687
243	40719	626806
244	40893	626752
245	41086	626981
246	41268	627054
247	41438	626929
248	41610	626835
249	41770	626552
250	42015	627561
251	42193	627542
252	42378	627630
253	42549	627525
254	42721	627422
255	42891	627286
256	43072	627321
257	43246	627239
258	43428	627286
259	43609	627308
260	43771	627054
261	43959	627172
262	44149	627319
263	44337	627436
264	44511	627357
265	44693	627388
266	44875	627413
267	45068	627596
268	45270	627900
269	45473	628208
270	45657	628253
271	45834	628205
272	46028	628382
273	46257	629039
274	46474	629518
275	46690	629986
276	46882	630126
277	47053	629968
278	47205	629570
279	47385	629550
280	47594	629913
281	47796	630163
282	48025	630774
283	48243	631238
284	48429	631285
285	48635	631584
286	48846	631941
287	49104	632897
288	49282	632833
289	49470	632875
290	49657	632915
291	49843	632948
292	50063	633397
293	50244	633354
294	50409	633113
295	50571	632824
296	50751	632769
297	50922	632603
298	51104	632570
299	51281	632467
300	51474	632570
301	51672	632731
302	51861	632783
303	52035	632644
304	52221	632645
305	52421	632832
306	52554	632189
307	52698	631697
308	52834	631102
309	52982	630666
310	53118	630083
311	53252	629473
312	53415	629209
313	53553	628661
314	53702	628230
315	53848	627780
316	53976	627113
317	54134	626803
318	54285	626414
319	54430	625946
320	54568	625416
321	54704	624850
322	54846	624372
323	54980	623787
324	55124	623334
325	55282	623027
326	55422	622523
327	55575	622170
328	55711	621634
329	55843	621045
330	55973	620444
331	56135	620199
332	56287	619840
333	56453	619635
334	56631	619560
335	56790	619288
336	56929	618790
337	57091	618545
338	57253	618303
339	57378	617666
340	57534	617359
341	57673	616875
342	57812	616385
343	57939	615778
344	58091	615436
345	58243	615087
346	58412	614926
347	58545	614389
348	58693	614006
349	58844	613660
350	58993	613298
351	59147	612987
352	59289	612550
353	59439	612194
354	59578	611725
355	59721	611308
356	59855	610795
357	59996	610356
358	60134	609884
359	60275	609452
360	60421	609068
361	60561	608627
362	60713	608304
363	60859	607924
364	60998	607482
365	61137	607036
366	61350	607315
367	61503	607012
368	61653	606672
369	61791	606224
370	61943	605915
371	62087	605521
372	62236	605183
373	62382	604808
374	62526	604426
375	62673	604061
376	62809	603602
377	62952	603216
378	63101	602873
379	63238	602430
380	63387	602097
381	63559	601985
382	63699	601569
383	63846	601225
384	63989	600840
385	64145	600571
386	64294	600249
387	64445	599943
388	64604	599708
389	64748	599340
390	64894	598991
391	65042	598660
392	65182	598248
393	65330	597919
394	65474	597561
395	65633	597328
396	65753	596748
397	65906	596466
398	66071	596303
399	66216	595950
400	66351	595508
401	66477	594993
402	66627	594690
403	66761	594240
404	66895	593801
405	67030	593372
406	67170	592985
407	67316	592648
408	67458	592281
409	67612	592019
410	67745	591579
411	67889	591232
412	68032	590878
413	68193	590680
414	68338	590347
415	68489	590066
416	68641	589788
417	68790	589493
418	68938	589189
419	69085	588867
420	69213	588401
421	69340	587918
422	69486	587595
423	69630	587264
424	69774	586923
425	69922	586628
426	70060	586240
427	70194	585829
428	70320	585347
429	70460	584990
430	70611	584718
431	70761	584435
432	70900	584068
433	71043	583733
434	71179	583346
435	71325	583034
436	71462	582652
437	71598	582266
438	71750	582014
439	71897	581713
440	72039	581377
441	72194	581145
442	72348	580909
443	72501	580665
444	72639	580297
445	72784	579990
446	72919	579603
447	73067	579322
448	73224	579110
449	73386	578934
450	73518	578531
451	73672	578299
452	73823	578042
453	73969	577741
454	74110	577413
455	74249	577059
456	74386	576696
457	74535	576432
458	74680	576127
459	74832	575883
460	74971	575538
461	75114	575225
462	75260	574939
463	75406	574646
464	75545	574305
465	75699	574080
466	75834	573714
467	75984	573454
468	76137	573220
469	76296	573034
470	76445	572770
471	76593	572502
472	76740	572229
473	76869	571815
474	77015	571537
475	77163	571272
476	77303	570943
477	77445	570630
478	77595	570381
479	77745	570133
480	77903	569939
481	78122	570195
482	78267	569909
483	78409	569606
484	78558	569343
485	78686	568938
486	78844	568748
487	78993	568495
488	79138	568211
489	79281	567911
490	79424	567618
491	79568	567328
492	79716	567072
493	79852	566726
494	80006	566508
495	80155	566263
496	80301	565988
497	80454	565763
498	80598	565482
499	80747	565229
500	80883	564891
501	81025	564598
502	81166	564296
503	81302	563956
504	81445	563665
505	81582	563335
506	81733	563104
507	81878	562836
508	82019	562535
509	82167	562283
510	82324	562096
511	82467	561809
512	82613	561548
513	82755	561255
514	82893	560940
515	83045	560715
516	83189	560442
517	83334	560177
518	83487	559959
519	83622	559628
520	83770	559379
521	83919	559142
522	84058	558834
523	84197	558528
524	84336	558224
525	84497	558067
526	84646	557830
527	84790	557563
